event,value,timestamp
IBI,1002,2022-10-18T19:02:01.563369
HR,66,2022-10-18T19:02:01.563369
IBI,951,2022-10-18T19:02:01.568315
HR,66,2022-10-18T19:02:01.568315
IBI,963,2022-10-18T19:02:02.366271
HR,66,2022-10-18T19:02:02.377952
IBI,975,2022-10-18T19:02:03.583186
HR,65,2022-10-18T19:02:03.592416
IBI,941,2022-10-18T19:02:04.402394
HR,65,2022-10-18T19:02:04.402499
IBI,924,2022-10-18T19:02:05.613819
HR,65,2022-10-18T19:02:05.613819
IBI,951,2022-10-18T19:02:06.423809
HR,65,2022-10-18T19:02:06.428379
IBI,945,2022-10-18T19:02:07.641943
HR,65,2022-10-18T19:02:07.642573
IBI,910,2022-10-18T19:02:08.451905
HR,65,2022-10-18T19:02:08.452481
IBI,925,2022-10-18T19:02:09.665631
HR,65,2022-10-18T19:02:09.667611
IBI,962,2022-10-18T19:02:10.474445
HR,65,2022-10-18T19:02:10.474445
IBI,936,2022-10-18T19:02:11.677932
HR,65,2022-10-18T19:02:11.692637
IBI,968,2022-10-18T19:02:12.502222
HR,64,2022-10-18T19:02:12.502222
IBI,990,2022-10-18T19:02:13.715687
HR,64,2022-10-18T19:02:13.718035
IBI,941,2022-10-18T19:02:14.518475
HR,64,2022-10-18T19:02:14.527597
IBI,911,2022-10-18T19:02:15.738350
HR,64,2022-10-18T19:02:15.738350
IBI,924,2022-10-18T19:02:15.742766
HR,64,2022-10-18T19:02:15.742766
IBI,850,2022-10-18T19:02:16.541520
HR,64,2022-10-18T19:02:16.552849
IBI,807,2022-10-18T19:02:17.360487
HR,64,2022-10-18T19:02:17.362659
IBI,784,2022-10-18T19:02:18.565292
HR,65,2022-10-18T19:02:18.577783
IBI,816,2022-10-18T19:02:19.383845
HR,67,2022-10-18T19:02:19.387725
IBI,842,2022-10-18T19:02:19.387725
HR,67,2022-10-18T19:02:19.387725
IBI,830,2022-10-18T19:02:20.587891
HR,68,2022-10-18T19:02:20.602889
IBI,823,2022-10-18T19:02:21.406508
HR,68,2022-10-18T19:02:21.413141
IBI,844,2022-10-18T19:02:22.617588
HR,69,2022-10-18T19:02:22.627534
IBI,852,2022-10-18T19:02:24.239040
HR,69,2022-10-18T19:02:24.239040
IBI,840,2022-10-18T19:02:24.640560
HR,69,2022-10-18T19:02:24.652230
IBI,856,2022-10-18T19:02:25.457826
HR,69,2022-10-18T19:02:25.461776
IBI,879,2022-10-18T19:02:25.461776
HR,69,2022-10-18T19:02:25.461776
IBI,877,2022-10-18T19:02:26.676128
HR,69,2022-10-18T19:02:26.676721
IBI,877,2022-10-18T19:02:27.477348
HR,69,2022-10-18T19:02:27.477348
IBI,923,2022-10-18T19:02:28.695799
HR,69,2022-10-18T19:02:28.702091
IBI,930,2022-10-18T19:02:29.497860
HR,69,2022-10-18T19:02:29.497860
IBI,902,2022-10-18T19:02:30.716161
